EXOBASEDIALES	Exobasidiales
GRAPHIOLALES	Exobasidiales
CASUARINALES	Fagales
JUGLANDALES	Fagales
MYRICINEAE	Fagales
FERRITROPHICALES	Ferritrophicales
FERVIDICOCCALES	Fervidicoccales
FIBROBACTERALES	Fibrobacterales
FLAVOBACTERIALES	Flavobacteriales
MONIMOTROCHA	Flosculariacea
ASTERIADINA	Forcipulatida
FORCIPULATA	Forcipulatida
FOSSOMBRONIALES	Fossombroniales
FUSOBACTERALES	Fusobacteriales
FUSOBACTERIALES	Fusobacteriales
GADOIDEI	Gadiformes
MACROUROIDEI	Gadiformes
MURAENOLEPOIDEI	Gadiformes
GALBULAE	Galbuliformes
CRACIFORMES	Galliformes
GALLI	Galliformes
OPISTHOCOMI	Galliformes
GALLIONELLALES	Gallionellales
PEGASIFORMES	Gasterosteiformes
SYNGNATHIFORMES	Gasterosteiformes
GEMMANTIMONADALES	Gemmatimonadales
GEMMATIMONADALES	Gemmatimonadales
GEOGLOSSALES	Geoglossales
GEOPHILIDA	Geophilomorpha
GERANIANAE	Geraniales
GLOEOBACTERALES	Gloeobacterales
GLOMALES	Glomerales
GNETIDAE	Gnetales
GAUTIERIALES	Gomphales
GONORHYNCHIFORMES	Gonorynchiformes
CHORDODEA	Gordioidea
GORDEA	Gordioidea
GORDIOIDA	Gordioidea
GROMIIDA	Gromida
CARIAMAE	Gruiformes
EURYPYGAE	Gruiformes
GRUES	Gruiformes
HELIORNITHES	Gruiformes
MESITORNITHES	Gruiformes
MESOENATIDES	Gruiformes
OTIDES	Gruiformes
RHYNOCHETI	Gruiformes
GRYLLOBLATTARIA	Grylloblattodea
GYMNODINIALES	Gymnodiniales
HAEMOSPORINA	Haemosporida
HALANAEROBIALES CORRIG	Halanaerobiales
HALOANAEROBIALES	Halanaerobiales
AXINELLIDA	Halichondrida
HALOARCHAEALES	Halobacteriales
HALOBACTERIALES	Halobacteriales
HALOPLASMATALES	Haloplasmatales
TRICHOMYCETES	Harpellales
LEOTIALES	Helotiales
HOMOPTERA	Hemiptera
HERPETOSIPHONALES	Herpetosiphonales
HETERONEMERTINI	Heteronemertea
HETEROSTROPHIA	Heterostropha
HETEROTRICHS	Heterotrichida
HEXACTINOSA	Hexactinosida
NOTIDANOIDEI	Hexanchiformes
HOLOPHAGALES	Holophagales
CARNOSA	Homosclerophorida
HONIGBERGIELLIDA	Honigbergiellida
HUERTEALES	Huerteales
HYDROGENOPHILALES	Hydrogenophilales
