group,iri,name,type,thesaurus,description,comments,examples,required
sequencing,https://w3id.org/mixs/0000072,contam_score,,,,,,false
sequencing,https://w3id.org/mixs/0000005,contam_screen_input,,https://rs.gbif.org/vocabulary/dna/contam_screen_input.xml,,,,false
sequencing,https://w3id.org/mixs/0000073,contam_screen_param,,,,,,false
sequencing,https://w3id.org/mixs/0000074,decontam_software,,https://rs.gbif.org/vocabulary/dna/decontam_software.xml,,,,false
sequencing,https://w3id.org/mixs/0000075,sort_tech,,https://rs.gbif.org/vocabulary/dna/sort_tech.xml,,,,false
sequencing,https://w3id.org/mixs/0000076,sc_lysis_approach,,https://rs.gbif.org/vocabulary/dna/single_cell_lysis_appr.xml,,,,false
sequencing,https://w3id.org/mixs/0000054,sc_lysis_method,,,,,,false
sequencing,https://w3id.org/mixs/0000055,wga_amp_appr,,https://rs.gbif.org/vocabulary/dna/wga_amp_appr.xml,,,,false
sequencing,https://w3id.org/mixs/0000006,wga_amp_kit,,,,,,false
sequencing,https://w3id.org/mixs/0000077,bin_param,,https://rs.gbif.org/vocabulary/dna/bin_param.xml,,,,false
sequencing,https://w3id.org/mixs/0000078,bin_software,,https://rs.gbif.org/vocabulary/dna/bin_software.xml,,,,false
sequencing,https://w3id.org/mixs/0000079,reassembly_bin,boolean,,,,,false
sequencing,https://w3id.org/mixs/0000080,mag_cov_software,,https://rs.gbif.org/vocabulary/dna/mag_cov_software.xml,,,,false
sequencing,https://w3id.org/mixs/0000081,vir_ident_software,,,,,,false
sequencing,https://w3id.org/mixs/0000082,pred_genome_type,,https://rs.gbif.org/vocabulary/dna/pred_genome_type.xml,,,,false
sequencing,https://w3id.org/mixs/0000083,pred_genome_struc,,https://rs.gbif.org/vocabulary/dna/pred_genome_struc.xml,,,,false
sequencing,https://w3id.org/mixs/0000084,detec_type,,https://rs.gbif.org/vocabulary/dna/detec_type.xml,,,,false
sequencing,https://w3id.org/mixs/0000085,otu_class_appr,,,,,,false
sequencing,https://w3id.org/mixs/0000086,otu_seq_comp_appr,,,,,,false
sequencing,https://w3id.org/mixs/0000087,otu_db,,,,,,false
sequencing,https://w3id.org/mixs/0000088,host_pred_appr,,https://rs.gbif.org/vocabulary/dna/host_pred_appr.xml,,,,false
sequencing,https://w3id.org/mixs/0000089,host_pred_est_acc,,,,,,false
sequencing,https://w3id.org/mixs/0000091,associated_resource,uri,,,,,false
sequencing,https://w3id.org/mixs/0000090,sop,uri,,,,,false
sequencing,http://rs.gbif.org/terms/pcr_primer_forward,,,,,,,false
sequencing,http://rs.gbif.org/terms/pcr_primer_reverse,,,,,,,false
sequencing,http://rs.gbif.org/terms/pcr_primer_name_forward,,,,,,,false
sequencing,http://rs.gbif.org/terms/pcr_primer_name_reverse,,,,,,,false
sequencing,http://rs.gbif.org/terms/pcr_primer_reference,,,,,,,false
sequencing,http://rs.gbif.org/terms/dna_sequence,DNA_sequence,,,,,,false
MaterialSample,http://data.ggbn.org/schemas/ggbn/terms/concentration,,decimal,,,,,false
MaterialSample,http://data.ggbn.org/schemas/ggbn/terms/concentrationUnit,,,,,,,false
MaterialSample,http://data.ggbn.org/schemas/ggbn/terms/methodDeterminationConcentrationAndRatios,,,,,,,false
MaterialSample,http://data.ggbn.org/schemas/ggbn/terms/ratioOfAbsorbance260_230,,decimal,,,,,false
MaterialSample,http://data.ggbn.org/schemas/ggbn/terms/ratioOfAbsorbance260_280,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/annealingTemp,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/annealingTempUnit,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/probeReporter,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/probeQuencher,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/ampliconSize,,integer,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/thresholdQuantificationCycle,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/baselineValue,,integer,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/quantificationCycle,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/automaticThresholdQuantificationCycle,,boolean,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/automaticBaselineValue,,boolean,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/contaminationAssessment,,boolean,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/partitionVolume,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/partitionVolumeUnit,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/estimatedNumberOfCopies,,integer,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/amplificationReactionVolume,,decimal,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/amplificationReactionVolumeUnit,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/pcr_analysis_software,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/experimentalVariance,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/pcr_primer_lod,,,,,,,false
nucleic acid sequence source,http://rs.gbif.org/terms/miqe/pcr_primer_loq,,,,,,,false
